Total Transactions,Transaction Index,Unix Timestamp,Readable Timestamp,Open,Close,High,Low,tVol,UTC Date,Daily Total Volume,Cumulative Daily Volume,Cumulative Total Volume (Till Date)
531,51,1677704482,"Wed, 01 Mar 2023 21:01:22 GMT",3841934899025225392895086827423418569050904,3854979059597227109919267372729571560316272,3854979059597227109919267372729571560316272,3854979059597227109919267372729571560316272,4423036748355986219308056000000000000,2023-03-01,5751863052052038838701889712207113081688,2466709816702820878863156673044292391868,2466709816702820878863156673044292391868
531,52,1677704485,"Wed, 01 Mar 2023 21:01:25 GMT",3854979059597227109919267372729571560316272,3915275211127404693070133790631569875635164,3915275211127404693070133790631569875635164,3891099066345032308930643587323750645958098,22115161807881213081955245000000000000,2023-03-01,5751863052052038838701889712207113081688,2488824978510702091945111918044292391868,2488824978510702091945111918044292391868
531,53,1677704485,"Wed, 01 Mar 2023 21:01:25 GMT",3854979059597227109919267372729571560316272,3915275211127404693070133790631569875635164,3915275211127404693070133790631569875635164,3891099066345032308930643587323750645958098,22115161807881213081955245000000000000,2023-03-01,5751863052052038838701889712207113081688,2510940140318583305027067163044292391868,2510940140318583305027067163044292391868
531,54,1677704491,"Wed, 01 Mar 2023 21:01:31 GMT",3915275211127404693070133790631569875635164,3964651118020835649564441036580225896063006,3964651118020835649564441036580225896063006,3964651118020835649564441036580225896063006,17966555482540831220311020234000000000,2023-03-01,5751863052052038838701889712207113081688,2528906695801124136247378183278292391868,2528906695801124136247378183278292391868
531,55,1677704497,"Wed, 01 Mar 2023 21:01:37 GMT",3964651118020835649564441036580225896063006,4062731438371234694387528457749692474957896,4062731438371234694387528457749692474957896,4062731438371234694387528457749692474957896,35384802722594028980712456000000000000,2023-03-01,5751863052052038838701889712207113081688,2564291498523718165228090639278292391868,2564291498523718165228090639278292391868
531,56,1677704500,"Wed, 01 Mar 2023 21:01:40 GMT",4062731438371234694387528457749692474957896,4112205011717721480759910660152376294973220,4112205011717721480759910660152376294973220,4112205011717721480759910660152376294973220,17692370318591630404989960000000000000,2023-03-01,5751863052052038838701889712207113081688,2581983868842309795633080599278292391868,2581983868842309795633080599278292391868
531,57,1677704503,"Wed, 01 Mar 2023 21:01:43 GMT",4112205011717721480759910660152376294973220,4198957778647246496741295317720078557187178,4198957778647246496741295317720078557187178,4198957778647246496741295317720078557187178,30761743686544438709576827340434373082,2023-03-01,5751863052052038838701889712207113081688,2612745612528854234342657426618726764950,2612745612528854234342657426618726764950
531,58,1677704515,"Wed, 01 Mar 2023 21:01:55 GMT",4198957778647246496741295317720078557187178,4376450265741476803697504088763385917056576,4376450265741476803697504088763385917056576,4325398998755418967999997609936152747087464,61925229469658633998505544000000000000,2023-03-01,5751863052052038838701889712207113081688,2674670841998512868341162970618726764950,2674670841998512868341162970618726764950
531,59,1677704515,"Wed, 01 Mar 2023 21:01:55 GMT",4198957778647246496741295317720078557187178,4376450265741476803697504088763385917056576,4376450265741476803697504088763385917056576,4325398998755418967999997609936152747087464,61925229469658633998505544000000000000,2023-03-01,5751863052052038838701889712207113081688,2736596071468171502339668514618726764950,2736596071468171502339668514618726764950
531,60,1677704518,"Wed, 01 Mar 2023 21:01:58 GMT",4376450265741476803697504088763385917056576,4511605411792481918214715811262143955451176,4511605411792481918214715811262143955451176,4466510668787650744576590358616038204810944,46343987501393433062698448578438303920,2023-03-01,5751863052052038838701889712207113081688,2782940058969564935402366963197165068870,2782940058969564935402366963197165068870
